key_mlbam,name_first,name_last,team,at_bats,Throws,PAVE,PAVE_PLUS,Power_A_PLUS,Expected_Hits,Expected_Bases,Expected_HRs,Fastball_Rate,Breaking_Rate,Offspeed_Rate
669062,Erik,Miller,BOS,189,L,0.1771239542566379,0.7438791338453132,0.6687819179515709,3.422148960890198,5.145997643593519,0.49902685321551304,0.5546929143838046,0.4306169385693003,0.014690147046895096
471911,Carlos,Carrasco,ATL,71,R,0.1770674486803519,0.7436418236558391,0.7540753438618812,3.5891714995857495,5.802294946147473,0.5765202982601492,0.29779164303270944,0.06820760068065797,0.16400075628663263
663884,Nolan,Kingham,TEX,5,R,0.1766666666666667,0.7419586330425075,0.303070374430637,2.3320000000000003,2.3320000000000003,0.0,0.3854545454545455,0.09636363636363637,0.04818181818181819
694357,Ricky,Tiedemann,TOR,11,L,0.17666666666666667,0.7419586330425074,0.4132777833145049,3.1799999999999997,3.1799999999999997,0.0,0.3498958333333334,0.5808928571428571,0.06921130952380952
605154,John,Brebbia,COL,21,R,0.17666666666666664,0.7419586330425073,1.0102345814354563,3.886666666666666,7.773333333333332,1.1104761904761904,0.20861702127659576,0.28191489361702127,0.03946808510638297
694350,Zach,Brzykcy,MIA,11,R,0.17666666666666664,0.7419586330425073,0.55103704441934,3.1799999999999997,4.24,0.0,0.25395833333333334,0.19874999999999998,0.07729166666666668
664208,Phil,Maton,CHC,132,R,0.17662873399715506,0.7417993247125915,0.7123453414790769,3.1168000000000005,5.4812,0.6548,0.29243956043956043,0.23756043956043957,0.0
676742,Cam,Sanders,BAL,106,R,0.1766073172295431,0.7417093793034129,0.5169503728833588,3.2333122821637996,3.9777172936442824,0.12797843665768194,0.5068974923357692,0.37244587780646893,0.12065662985776186
622554,Seranthony,Domínguez,SEA,223,R,0.17656217345872519,0.7415197860365085,0.7797429899606689,3.394698363840593,5.9997967666893945,0.6928120356165701,0.6404761097285252,0.22585191168645274,0.13367197858502206
671922,Cade,Smith,CLE,249,R,0.1754599447018443,0.7368906833473265,0.7330136704511551,3.312543237465993,5.640234162456276,0.6161725936002073,0.6830838782657322,0.08842259563577937,0.2284935260984884
