key_mlbam,name_first,name_last,team,opponent,is_home,dk_slot,game_pk,game_datetime,DK_Points,Ceiling_DK_Points,Boom_Adjusted_DK_Points,Value_Score,Estimated_Salary
694374,Tim,Tawa,AZ,HOU,False,1B,824142,2026-09-06T18:10:00Z,5.66369889987099,13.000000000000014,10.670452424935238,2.6676131062338095,4000.0
668901,Mark,Vientos,NYM,SF,True,1B,823578,2026-09-06T17:40:00Z,5.649143250652598,14.0,10.63295397095646,2.658238492739115,4000.0
682657,Angel,Martínez,CLE,DET,True,OF,824385,2026-09-06T17:40:00Z,5.645728782101696,15.0,11.190318907448344,2.797579726862086,4000.0
678662,Ezequiel,Tovar,COL,STL,True,SS,824309,2026-09-06T19:10:00Z,5.643809348883301,11.5,10.140416207285652,2.535104051821413,4000.0
663656,Kyle,Tucker,LAD,WSH,True,OF,823903,2026-09-07T02:10:00Z,5.631420074443064,12.0,10.048283129959906,2.5120707824899764,4000.0
664770,Nathan,Lukes,TOR,KC,False,OF,824065,2026-09-06T18:10:00Z,5.630065473895393,12.0,9.69753282933727,2.4243832073343174,4000.0
683734,Andrew,Vaughn,MIL,CIN,False,1B,824469,2026-09-06T16:10:00Z,5.614740791303259,10.799999999999995,9.96578621667927,2.4914465541698174,4000.0
665742,Juan,Soto,NYM,SF,True,OF,823578,2026-09-06T17:40:00Z,5.613714035397674,16.0,10.821232078582549,2.705308019645637,4000.0
666160,Mickey,Moniak,COL,STL,True,OF,824309,2026-09-06T19:10:00Z,5.58720240908385,19.10000000000001,12.614364211689509,3.153591052922377,4000.0
663968,Jake,Mangum,PIT,LAA,True,OF,823336,2026-09-06T17:35:00Z,5.571744788554839,10.0,9.656454251456651,2.414113562864163,4000.0
665877,José,Fermín,STL,COL,False,OF,824309,2026-09-06T19:10:00Z,5.569271147348824,10.100000000000009,9.119429453678276,2.279857363419569,4000.0
669242,Tommy,Edman,LAD,WSH,True,2B,823903,2026-09-07T02:10:00Z,5.559331992253013,15.9,11.126481378996385,2.781620344749096,4000.0
663586,Austin,Riley,ATL,PHI,False,3B,823417,2026-09-06T17:10:00Z,5.552855744902828,12.0,10.474034846005823,2.618508711501456,4000.0
676391,Ernie,Clement,TOR,KC,False,2B,824065,2026-09-06T18:10:00Z,5.550797175575223,11.0,9.51801271511705,2.3795031787792627,4000.0
686765,Nick,Sogard,BOS,BAL,False,2B,824794,2026-09-06T17:35:00Z,5.54915059864645,13.5,9.799343377066684,2.449835844266671,4000.0
691594,Javier,Sanoja,MIA,CHC,True,3B,823822,2026-09-06T17:40:00Z,5.535858782632261,12.400000000000006,10.123855541220356,2.595860395184707,3900.0
691176,Jasson,Domínguez,NYY,SD,False,OF,823253,2026-09-06T20:10:00Z,5.531322506670956,12.0,9.870655294992469,2.530937255126274,3900.0
677587,Brayan,Rocchio,CLE,DET,True,SS,824385,2026-09-06T17:40:00Z,5.528097207144956,13.0,10.326733374853363,2.6478803525265033,3900.0
643446,Jeff,McNeil,ATH,SEA,False,2B,823091,2026-09-06T20:10:00Z,5.524075961484966,12.0,9.928074792244136,2.545660203139522,3900.0
702222,Justin,Crawford,PHI,ATL,True,OF,823417,2026-09-06T17:10:00Z,5.520703035230711,10.0,9.126992722984594,2.3402545443550244,3900.0
607043,Brandon,Nimmo,TEX,TB,True,OF,822848,2026-09-06T18:35:00Z,5.519987146527839,14.0,10.75514350220006,2.7577291031282205,3900.0
571448,Nolan,Arenado,AZ,HOU,False,3B,824142,2026-09-06T18:10:00Z,5.519223032629431,13.0,10.767638837827882,2.7609330353404826,3900.0
641487,J. P.,Crawford,SEA,ATH,True,SS,823091,2026-09-06T20:10:00Z,5.50842902330961,12.800000000000011,10.167443063370452,2.6070366829155005,3900.0
660688,Keibert,Ruiz,WSH,LAD,False,C,823903,2026-09-07T02:10:00Z,5.507746759500391,12.200000000000015,10.39569111270246,2.6655618237698615,3900.0
669707,Jared,Triolo,PIT,LAA,True,SS,823336,2026-09-06T17:35:00Z,5.499390905447074,9.5,9.026092206991123,2.3143826171772113,3900.0
676724,Jared,Young,NYM,SF,True,1B,823578,2026-09-06T17:40:00Z,5.49067576962254,12.599999999999994,9.59817770221136,2.461071205695221,3900.0
620443,Luis,Torrens,NYM,SF,True,C,823578,2026-09-06T17:40:00Z,5.490106226266799,12.0,10.179415482487924,2.610106533971263,3900.0
803011,Sam,Antonacci,CWS,MIN,True,OF,824552,2026-09-06T22:20:00Z,5.489261586165966,12.0,9.631590687013368,2.4696386376957356,3900.0
663993,Nathaniel,Lowe,CLE,DET,True,1B,824385,2026-09-06T17:40:00Z,5.476665144862334,14.0,10.829229103154276,2.776725411065199,3900.0
666176,Jo,Adell,CLE,DET,True,OF,824385,2026-09-06T17:40:00Z,5.473518768898344,16.0,11.228959707336436,2.8792204377785735,3900.0
502671,Paul,Goldschmidt,NYY,SD,False,1B,823253,2026-09-06T20:10:00Z,5.468497312971788,16.0,10.762341604081907,2.7595747702774123,3900.0
608348,Carson,Kelly,CHC,MIA,False,C,823822,2026-09-06T17:40:00Z,5.467059529807105,13.100000000000009,10.53526848366842,2.701350893248313,3900.0
682177,Daniel,Schneemann,CLE,DET,True,OF,824385,2026-09-06T17:40:00Z,5.46335530347137,9.0,9.533295041865212,2.4444346261192855,3900.0
650333,Luis,Arráez,PHI,ATL,True,2B,823417,2026-09-06T17:10:00Z,5.447462696470622,12.0,9.412921669614224,2.413569658875442,3900.0
695734,Daylen,Lile,WSH,LAD,False,OF,823903,2026-09-07T02:10:00Z,5.447012409541658,16.0,11.5010574652484,2.9489890936534358,3900.0
643289,Mauricio,Dubón,ATL,PHI,False,OF,823417,2026-09-06T17:10:00Z,5.4382213525261065,13.799999999999995,9.552179052705446,2.449276680180884,3900.0
701350,Roman,Anthony,BOS,BAL,False,OF,824794,2026-09-06T17:35:00Z,5.427647751540484,11.4,9.165121318649316,2.3500311073459783,3900.0
695681,Christian,Moore,LAA,PIT,False,2B,823336,2026-09-06T17:35:00Z,5.426437510618063,12.0,9.066857917345406,2.324835363421899,3900.0
647304,Josh,Naylor,SEA,ATH,True,1B,823091,2026-09-06T20:10:00Z,5.420185679264495,11.0,10.036412181149288,2.57343902080751,3900.0
680757,Steven,Kwan,CLE,DET,True,OF,824385,2026-09-06T17:40:00Z,5.41232921390814,10.0,8.647667954025728,2.217350757442494,3900.0
665862,Jazz,Chisholm,NYY,SD,False,2B,823253,2026-09-06T20:10:00Z,5.411924109772829,14.200000000000005,10.308899588349131,2.6433075867561877,3900.0
663757,Trent,Grisham,NYY,SD,False,OF,823253,2026-09-06T20:10:00Z,5.396203571910388,16.0,11.013343702760915,2.823934282759209,3900.0
683146,Brett,Baty,NYM,SF,True,3B,823578,2026-09-06T17:40:00Z,5.389550862623239,12.0,9.344950763629852,2.3961412214435516,3900.0
663538,Nico,Hoerner,CHC,MIA,False,2B,823822,2026-09-06T17:40:00Z,5.37864874638611,13.0,10.079813784291533,2.584567636997829,3900.0
804668,Rafael,Flores,PIT,LAA,True,C,823336,2026-09-06T17:35:00Z,5.358463577313954,20.1,12.580784944154807,3.2258422933730277,3900.0
671976,Tristan,Peters,CWS,MIN,True,OF,824552,2026-09-06T22:20:00Z,5.3546086041021725,13.0,10.616206555345569,2.7221042449604025,3900.0
687401,Joey,Ortiz,MIL,CIN,False,SS,824469,2026-09-06T16:10:00Z,5.354404340468461,11.0,9.941083536719743,2.548995778646088,3900.0
545121,Ildemaro,Vargas,AZ,HOU,False,1B,824142,2026-09-06T18:10:00Z,5.342738970508615,14.200000000000005,10.426988864214646,2.6735868882601657,3900.0
680700,Richie,Palacios,TB,TEX,False,2B,822848,2026-09-06T18:35:00Z,5.328027533095203,12.0,9.407135269986297,2.412085966663153,3900.0
699302,Héctor,Rodríguez,CIN,MIL,True,OF,824469,2026-09-06T16:10:00Z,5.313593513452114,14.799999999999995,11.101261997520762,2.846477435261734,3900.0
805300,Jakob,Marsee,MIA,CHC,True,OF,823822,2026-09-06T17:40:00Z,5.30750384824314,10.0,9.13181026951846,2.3414898126970414,3900.0
802415,Chandler,Simpson,TB,TEX,False,OF,822848,2026-09-06T18:35:00Z,5.303854180526396,9.0,8.174430085059935,2.096007714117932,3900.0
680779,Henry,Davis,PIT,LAA,True,C,823336,2026-09-06T17:35:00Z,5.302997304294782,9.100000000000009,9.928477642527234,2.545763498083906,3900.0
679845,Nick,Loftin,KC,TOR,True,3B,824065,2026-09-06T18:10:00Z,5.300702057430555,12.0,10.21679479919028,2.619690974151354,3900.0
678545,Osleivis,Basabe,SF,NYM,False,2B,823578,2026-09-06T17:40:00Z,5.297994046291787,14.0,10.046993941006464,2.57615229256576,3900.0
655316,Andruw,Monasterio,BOS,BAL,False,SS,824794,2026-09-06T17:35:00Z,5.290890749084203,11.0,9.8126552325891,2.5160654442536154,3900.0
572233,Christian,Walker,HOU,AZ,True,1B,824142,2026-09-06T18:10:00Z,5.289911634571401,15.5,10.6522057374718,2.731334804479949,3900.0
696285,Jacob,Young,WSH,LAD,False,OF,823903,2026-09-07T02:10:00Z,5.266351672885699,13.0,9.303872315894235,2.385608286126727,3900.0
596115,Trevor,Story,BOS,BAL,False,SS,824794,2026-09-06T17:35:00Z,5.265557200351954,10.199999999999996,9.74768714509766,2.4994069602814513,3900.0
543510,James,McCann,AZ,HOU,False,C,824142,2026-09-06T18:10:00Z,5.261595982374081,14.0,10.79415458953413,2.840566997245824,3800.0
665804,Miguel,Amaya,CHC,MIA,False,C,823822,2026-09-06T17:40:00Z,5.260205054642579,11.200000000000005,9.088298400496669,2.391657473814913,3800.0
622268,Donovan,Walton,ATH,SEA,False,2B,823091,2026-09-06T20:10:00Z,5.252511214101517,12.0,8.754184921059377,2.303732873962994,3800.0
703520,Brett,Bateman,TOR,KC,False,OF,824065,2026-09-06T18:10:00Z,5.247718086609245,10.4,8.201230394642463,2.1582185249059114,3800.0
804606,Konnor,Griffin,PIT,LAA,True,SS,823336,2026-09-06T17:35:00Z,5.239831164229553,12.1,9.68770154520132,2.5493951434740314,3800.0
701785,Kaelen,Culpepper,MIN,CWS,False,SS,824552,2026-09-06T22:20:00Z,5.237542516554931,14.0,8.813762846994855,2.319411275524962,3800.0
669016,Brandon,Marsh,PHI,ATL,True,OF,823417,2026-09-06T17:10:00Z,5.232921957689282,14.0,10.33361790142946,2.719373131955121,3800.0
694212,Samuel,Basallo,BAL,BOS,True,C,824794,2026-09-06T17:35:00Z,5.22427645895225,15.0,10.452030087424042,2.7505342335326426,3800.0
686555,Isaac,Collins,KC,TOR,True,OF,824065,2026-09-06T18:10:00Z,5.222200314381886,10.0,8.76663275752423,2.3070086204011133,3800.0
543760,Marcus,Semien,NYM,SF,True,2B,823578,2026-09-06T17:40:00Z,5.220844860062203,14.200000000000005,10.126580766894516,2.664889675498557,3800.0
641857,Ryan,McMahon,NYY,SD,False,3B,823253,2026-09-06T20:10:00Z,5.214325562188004,12.100000000000009,9.241351263620762,2.4319345430580954,3800.0
630105,Jake,Cronenworth,SD,NYY,True,2B,823253,2026-09-06T20:10:00Z,5.213637415350799,9.0,8.48228456554212,2.2321801488268735,3800.0
553869,Elías,Díaz,TEX,TB,True,C,822848,2026-09-06T18:35:00Z,5.2091986811076,12.0,9.334702425473996,2.4565006382826304,3800.0
694497,Evan,Carter,TEX,TB,True,OF,822848,2026-09-06T18:35:00Z,5.208152006460006,9.900000000000006,9.3192030388144,2.452421852319579,3800.0
669003,Garrett,Mitchell,MIL,CIN,False,OF,824469,2026-09-06T16:10:00Z,5.192747871233136,13.0,10.1719071965752,2.676817683309263,3800.0
689414,Liam,Hicks,TB,TEX,False,C,822848,2026-09-06T18:35:00Z,5.189087257460385,14.0,10.272968745065674,2.7034128276488616,3800.0
669221,Sean,Murphy,ATL,PHI,False,C,823417,2026-09-06T17:10:00Z,5.180097506805016,15.199999999999996,10.940854795313578,2.879172314556205,3800.0
670764,Taylor,Walls,TB,TEX,False,SS,822848,2026-09-06T18:35:00Z,5.177356538325185,8.100000000000009,8.474292255618888,2.2300769093733916,3800.0
670231,John,Rave,KC,TOR,True,OF,824065,2026-09-06T18:10:00Z,5.164686760700048,13.800000000000004,10.15299095260109,2.671839724368708,3800.0
621438,Tyrone,Taylor,CHC,MIA,False,OF,823822,2026-09-06T17:40:00Z,5.1488409417110494,14.0,10.300369491621542,2.7106235504267215,3800.0
702284,Cole,Young,SEA,ATH,True,2B,823091,2026-09-06T20:10:00Z,5.1484716171064,12.0,9.815420800898464,2.5830054739206485,3800.0
679822,Justin,Foscue,TEX,TB,True,2B,822848,2026-09-06T18:35:00Z,5.1463056653331005,13.599999999999994,10.49394912759491,2.7615655598933975,3800.0
642350,José,Siri,LAA,PIT,False,OF,823336,2026-09-06T17:35:00Z,5.142150027472401,11.599999999999994,9.31515790682686,2.4513573439018055,3800.0
665750,Leody,Taveras,BAL,BOS,True,OF,824794,2026-09-06T17:35:00Z,5.137650614290203,12.0,8.99359403553813,2.3667352725100343,3800.0
690976,Alex,Freeland,LAD,WSH,True,2B,823903,2026-09-07T02:10:00Z,5.134565383901355,10.5,9.30718053684903,2.449258036012903,3800.0
691788,Joe,Mack,MIA,CHC,True,C,823822,2026-09-06T17:40:00Z,5.119815814795985,14.0,9.549284256385214,2.512969541154004,3800.0
683083,Nasim,Nuñez,WSH,LAD,False,2B,823903,2026-09-07T02:10:00Z,5.119140544234668,7.0,8.17925019726735,2.1524342624387764,3800.0
807713,Matt,Shaw,CHC,MIA,False,OF,823822,2026-09-06T17:40:00Z,5.112235180382204,14.5,9.764345269350798,2.5695645445659996,3800.0
702332,Caleb,Durbin,BOS,BAL,False,3B,824794,2026-09-06T17:35:00Z,5.098793651930399,12.0,9.909398923299385,2.607736558762996,3800.0
624641,Edmundo,Sosa,PHI,ATL,True,OF,823417,2026-09-06T17:10:00Z,5.095904300844323,13.799999999999995,9.988213797939077,2.6284773152471255,3800.0
642708,Amed,Rosario,NYY,SD,False,3B,823253,2026-09-06T20:10:00Z,5.09568804197034,12.0,10.640795549130932,2.800209355034456,3800.0
672275,Patrick,Bailey,CLE,DET,True,C,824385,2026-09-06T17:40:00Z,5.091910371063656,10.0,9.2177555740631,2.425725151069237,3800.0
681297,Colton,Cowser,BAL,BOS,True,OF,824794,2026-09-06T17:35:00Z,5.079569541651218,12.0,9.535796651650088,2.5094201714868656,3800.0
691777,Max,Muncy,ATH,SEA,False,3B,823091,2026-09-06T20:10:00Z,5.077691637508,12.700000000000005,9.42117037618662,2.479255362154374,3800.0
687952,Christian,Encarnacion-Strand,BAL,BOS,True,3B,824794,2026-09-06T17:35:00Z,5.075547776260643,19.1,11.351888519480372,2.987339084073782,3800.0
806198,Cooper,Pratt,MIL,CIN,False,SS,824469,2026-09-06T16:10:00Z,5.073595473634196,11.600000000000009,9.788121000349776,2.57582131588152,3800.0
677942,Blaze,Alexander,BAL,BOS,True,3B,824794,2026-09-06T17:35:00Z,5.06748298895357,11.0,9.619107185517944,2.531343996188933,3800.0
800050,Chase,DeLauter,CLE,DET,True,OF,824385,2026-09-06T17:40:00Z,5.064595060331022,14.5,9.89951926777437,2.605136649414308,3800.0
671277,Luis,García,NYY,SD,False,1B,823253,2026-09-06T20:10:00Z,5.061471775869762,17.0,11.713758695140566,3.08256807766857,3800.0
694671,Wyatt,Langford,TEX,TB,True,OF,822848,2026-09-06T18:35:00Z,5.055934522183308,15.0,9.890485920843432,2.602759452853535,3800.0
666126,Carlos,Cortes,ATH,SEA,False,OF,823091,2026-09-06T20:10:00Z,5.045903661211074,9.600000000000009,9.6329636710134,2.5349904397403686,3800.0
703601,Max,Clark,DET,CLE,False,OF,824385,2026-09-06T17:40:00Z,5.016100862225238,15.0,9.629273321859156,2.5340192952260936,3800.0
686217,Sal,Frelick,MIL,CIN,False,OF,824469,2026-09-06T16:10:00Z,5.014488711695163,12.0,8.770043497531697,2.307906183560973,3800.0
666139,Josh,Lowe,LAA,PIT,False,OF,823336,2026-09-06T17:35:00Z,4.994795213289934,12.0,9.072009140671303,2.3873708264924485,3800.0
657136,Connor,Wong,BOS,BAL,False,C,824794,2026-09-06T17:35:00Z,4.9875383173539385,9.0,9.041745255885427,2.3794066462856387,3800.0
676356,Jonny,DeLuca,TB,TEX,False,OF,822848,2026-09-06T18:35:00Z,4.972189954366917,13.5,9.176209120795315,2.480056519133869,3700.0
694378,Jacob,Gonzalez,PIT,LAA,True,SS,823336,2026-09-06T17:35:00Z,4.9634126973976,14.0,10.116292500242675,2.7341331081736957,3700.0
663616,Trevor,Larnach,MIN,CWS,False,OF,824552,2026-09-06T22:20:00Z,4.963237024466536,14.600000000000009,9.699138388785189,2.6213887537257263,3700.0
543877,Christian,Vázquez,HOU,AZ,True,C,824142,2026-09-06T18:10:00Z,4.949583632497736,12.0,9.023286871054433,2.4387261813660626,3700.0
596146,Max,Kepler,AZ,HOU,False,OF,824142,2026-09-06T18:10:00Z,4.944727548351487,8.200000000000003,9.670818692203875,2.613734781676723,3700.0
676439,Hunter,Feduccia,LAD,WSH,True,C,823903,2026-09-07T02:10:00Z,4.929309212600359,7.0,7.89153422986079,2.1328470891515647,3700.0
666152,David,Hamilton,MIL,CIN,False,3B,824469,2026-09-06T16:10:00Z,4.919733343508573,12.0,9.12790727501226,2.46700196621953,3700.0
701358,Cam,Smith,HOU,AZ,True,OF,824142,2026-09-06T18:10:00Z,4.901175084541716,14.0,10.00814665645906,2.7049045017456916,3700.0
668670,Jake,Rogers,CWS,MIN,True,C,824552,2026-09-06T22:20:00Z,4.888823285722038,11.300000000000004,8.980414663169205,2.4271390981538388,3700.0
669224,Austin,Wells,NYY,SD,False,C,823253,2026-09-06T20:10:00Z,4.888435289713393,9.600000000000009,9.220713748943608,2.4920847970117856,3700.0
683953,Travis,Bazzana,CLE,DET,True,2B,824385,2026-09-06T17:40:00Z,4.879362841368166,13.799999999999995,10.730499011789025,2.9001348680510874,3700.0
668939,Adley,Rutschman,BOS,BAL,False,C,824794,2026-09-06T17:35:00Z,4.859579578429871,16.799999999999997,11.282763494046426,3.049395538931466,3700.0
656577,Alex,Jackson,MIN,CWS,False,C,824552,2026-09-06T22:20:00Z,4.854123895467933,12.0,8.693732208824908,2.3496573537364616,3700.0
672724,Oswald,Peraza,LAA,PIT,False,2B,823336,2026-09-06T17:35:00Z,4.853520407363583,10.0,9.045326649127595,2.444682878142593,3700.0
