key_mlbam,Current_Hit_Streak,last_game_date,name_first,name_last,team
666971,3,2026-09-11,Lourdes,Gurriel,AZ
701398,3,2026-09-12,Sal,Stewart,CIN
593428,3,2026-09-12,Xander,Bogaerts,SD
673962,3,2026-09-12,Josh,Jung,TEX
665487,3,2026-09-12,Fernando,Tatís,SD
693304,3,2026-09-11,Nick,Gonzales,PIT
643376,3,2026-09-11,Danny,Jansen,TEX
665052,3,2026-09-12,Griffin,Conine,MIA
695600,3,2026-09-12,Carter,Jensen,KC
688363,3,2026-09-12,Graham,Pauley,MIA
690976,3,2026-09-12,Alex,Freeland,LAD
663586,3,2026-09-12,Austin,Riley,ATL
669397,3,2026-09-11,Nick,Allen,HOU
702332,3,2026-09-12,Caleb,Durbin,BOS
545121,3,2026-09-12,Ildemaro,Vargas,AZ
703601,3,2026-09-12,Max,Clark,DET
800325,3,2026-09-11,Luis,Lara,MIL
686527,3,2026-09-12,Dominic,Canzone,SEA
701538,3,2026-09-12,Jackson,Merrill,SD
699024,3,2026-09-12,,,STL
666018,2,2026-09-12,Jonathan,Aranda,TB
669357,2,2026-09-12,Nolan,Gorman,STL
665862,2,2026-09-08,Jazz,Chisholm,NYY
683734,2,2026-09-11,Andrew,Vaughn,MIL
641343,2,2026-09-12,Jake,Bauers,MIL
701807,2,2026-09-12,Carson,Benge,NYM
669003,2,2026-09-12,Garrett,Mitchell,MIL
681508,2,2026-09-12,Mickey,Gasper,BOS
703492,2,2026-09-12,Nick,Morabito,NYM
678246,2,2026-09-12,Miguel,Vargas,CWS
699393,2,2026-09-12,Pedro,Ramírez,CHC
630105,2,2026-09-12,Jake,Cronenworth,SD
806198,2,2026-09-12,Cooper,Pratt,MIL
547180,2,2026-09-12,Bryce,Harper,PHI
665742,2,2026-09-12,Juan,Soto,NYM
668930,2,2026-09-12,Brice,Turang,MIL
668804,2,2026-09-12,Bryan,Reynolds,PIT
694671,2,2026-09-12,Wyatt,Langford,TEX
682985,2,2026-09-12,Riley,Greene,DET
693307,2,2026-09-11,Dillon,Dingler,DET
668227,2,2026-09-12,Randy,Arozarena,SEA
