key_mlbam,name_first,name_last,team,opponent,is_home,game_pk,game_datetime,PA_L,PA_R,Expected_Bases,Expected_BB,Expected_HBP,Expected_RBI,Game_Hit_Probability,Matchup_Hit_Probability,Matchup_Ratio,Adjusted_Expected_Bases,DK_Points_Hitter_HitType,DK_Points_Hitter,dk_slot,DK_Points_Hitter_Source,Ceiling_DK_Points,n_games,Ceiling_Source,Upside_Deviation,Upside_Deviation_Source,Boom_Adjusted_DK_Points,Boom_Rate,Boom_Rate_Source,Matchup_Boom_Score
671056,Iván,Herrera,STL,CWS,True,823009,2026-09-12T23:15:00Z,202.0,450,1.2060107791196428,0.2842653989339685,0.1509412050109914,0.4996149844939494,0.6114964092403741,0.5884577170712312,0.9623240761172048,1.1605732088037006,3.1333155491282314,6.073360796258734,,model,15.0,144,player,4.79248747498798,player,10.865848271246714,0.14583333333333334,player,0.1403389277670924
664761,Alec,Bohm,PHI,ATL,False,824870,2026-09-12T23:15:00Z,171.0,393,1.3805280102732582,0.3335123917918231,0.061802304964539,0.3965114791927409,0.6006412362176325,0.5690496507030828,0.9474035687035263,1.3079171636280633,3.531114758363046,6.072502999982736,3B,model,14.299999999999997,138,player,5.032059352337087,player,11.104562352319823,0.10869565217391304,player,0.10297864877212241
661388,William,Contreras,MIL,CIN,True,823737,2026-09-12T23:10:00Z,165.0,414,1.908296638313218,0.3531038818955567,0.0042314335060449,0.9454122475005944,0.607751642894656,0.621270199107732,1.022243553548763,1.9507439367744626,5.266618480503695,6.071703192071416,C,model,15.600000000000009,135,player,5.261118510594776,player,11.332821702666191,0.14074074074074075,player,0.14387131494389999
664983,Jake,McCarthy,COL,DET,False,824224,2026-09-12T17:10:00Z,153.0,369,1.5714163772158836,0.2227420546792847,0.0415484683766491,0.4205256435634,0.6844668405676043,0.6460718989535599,0.9439053299028995,1.4832682939507777,4.00452774000831,6.070451604515537,OF,model,14.0,128,player,5.662619192456297,player,11.733070796971834,0.125,player,0.11798816623786244
664023,Ian,Happ,CHC,PIT,True,824630,2026-09-12T18:20:00Z,139.0,444,0.8331120958007749,0.4801916968426401,0.0282161234991423,0.4293661457340701,0.5472557108125937,0.576252579039953,1.0529859582174177,0.8772553384993,2.3684139628804104,6.055864052575577,OF,model,16.0,140,player,5.26583852710905,player,11.321702579684628,0.15714285714285714,player,0.16546922200559422
643446,Jeff,McNeil,ATH,SEA,True,824955,2026-09-13T01:40:00Z,100.0,362,1.458033227205678,0.1434265351388794,0.0322281884781884,0.4841076649522419,0.6370963499974078,0.7424258818392936,1.1653274765148385,1.699086181334379,4.587192872366557,6.045762656777308,2B,model,12.0,130,player,4.378676139397364,player,10.424438796174673,0.06153846153846154,player,0.07171246009322084
547180,Bryce,Harper,PHI,ATL,False,824870,2026-09-12T23:15:00Z,237.0,384,1.1581174927022737,0.4828052648151739,0.0009863123993558,0.3214642783516095,0.6180353502009376,0.5847117847438099,0.9460814572397948,1.0956734851506644,2.958099275209764,6.043214397716497,1B,model,16.0,146,player,5.161329728547936,player,11.204544126264434,0.1643835616438356,player,0.15552023954626762
665161,Jeremy,Peña,HOU,TB,False,822927,2026-09-12T22:10:00Z,94.0,328,1.1922507171691092,0.0867742391366413,0.090506466624793,0.241042221585704,0.6416023208208317,0.5598411632058592,0.8725672352457023,1.0403189119999554,2.8086529986174797,6.039892962367836,SS,model,15.800000000000011,97,player,5.041857266385657,player,11.081750228753492,0.14432989690721648,player,0.12593753910762714
605137,Josh,Bell,MIN,CLE,True,823657,2026-09-12T20:10:00Z,181.0,388,1.4367723128844614,0.3311791039671641,0.022044364223626,0.3615581929139156,0.6001261619563316,0.6434465914575118,1.0721855373876075,1.540486494393662,4.159005437564009,6.029069910106252,,model,15.0,141,player,5.066520154515764,player,11.095590064622016,0.1347517730496454,player,0.14447890220116696
665487,Fernando,Tatís,SD,SF,False,823170,2026-09-12T20:05:00Z,150.0,477,1.703278710041742,0.2306845259444101,0.0048843700159489,0.3600694892770567,0.6270349723455273,0.6033129986098325,0.9621680212716702,1.6388403061150258,4.424541058449347,6.014334718293379,OF,model,15.0,144,player,5.225522817205416,player,11.239857535498796,0.1388888888888889,player,0.1336344473988431
