schema_version,sport_id,venue_id,event_id,event_slug,market_id,market_slug,market_type,provider_game_id,sport_game_key,native_game_id,home_team,away_team,scheduled_start_utc,trading_status,active,closed,line,rules_hash,rules_text,long_team,short_team,home_outcome_id,away_outcome_id,mapping_status,mapping_evidence,first_observed_at_utc,updated_at_utc
polymarket_v1,nfl,polymarket_us,101473,nfl-cin-hou-2026-09-20,657983,aec-nfl-cin-hou-2026-09-20,moneyline,19474,nfl:2026_02_CIN_HOU,2026_02_CIN_HOU,HOU,CIN,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,64f8bcad217e4e0f,"This market will settle to the winner of the Cincinnati Bengals vs Houston Texans professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",CIN,HOU,1315479,1315478,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""HOU"", ""away"": ""CIN"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101472,nfl-no-bal-2026-09-20,657980,aec-nfl-no-bal-2026-09-20,moneyline,19472,nfl:2026_02_NO_BAL,2026_02_NO_BAL,BAL,NO,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,078a68d8c3c42d00,"This market will settle to the winner of the New Orleans Saints vs Baltimore Ravens professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",NO,BAL,1315473,1315472,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""BAL"", ""away"": ""NO"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101469,nfl-min-chi-2026-09-20,657972,aec-nfl-min-chi-2026-09-20,moneyline,19473,nfl:2026_02_MIN_CHI,2026_02_MIN_CHI,CHI,MIN,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,faa37a9acce9cc16,"This market will settle to the winner of the Minnesota Vikings vs Chicago Bears professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",MIN,CHI,1315457,1315456,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""CHI"", ""away"": ""MIN"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101471,nfl-gb-nyj-2026-09-20,657978,aec-nfl-gb-nyj-2026-09-20,moneyline,19476,nfl:2026_02_GB_NYJ,2026_02_GB_NYJ,NYJ,GB,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,48c92cd371421902,"This market will settle to the winner of the Green Bay Packers vs New York Jets professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",GB,NYJ,1315469,1315468,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""NYJ"", ""away"": ""GB"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101475,nfl-jax-den-2026-09-20,657989,aec-nfl-jax-den-2026-09-20,moneyline,19479,nfl:2026_02_JAX_DEN,2026_02_JAX_DEN,DEN,JAX,2026-09-20T20:05:00Z,MARKET_STATUS_OPEN,True,False,,58bdf53b3c45e2b6,"This market will settle to the winner of the Jacksonville Jaguars vs Denver Broncos professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",JAX,DEN,1315491,1315490,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""DEN"", ""away"": ""JAX"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101476,nfl-lv-lac-2026-09-20,657992,aec-nfl-lv-lac-2026-09-20,moneyline,19480,nfl:2026_02_LV_LAC,2026_02_LV_LAC,LAC,LV,2026-09-20T20:05:00Z,MARKET_STATUS_OPEN,True,False,,cd44bcf2914e6d08,"This market will settle to the winner of the Las Vegas Raiders vs Los Angeles Chargers professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",LV,LAC,1315497,1315496,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""LAC"", ""away"": ""LV"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101478,nfl-mia-sf-2026-09-20,657996,aec-nfl-mia-sf-2026-09-20,moneyline,19483,nfl:2026_02_MIA_SF,2026_02_MIA_SF,SF,MIA,2026-09-20T20:25:00Z,MARKET_STATUS_OPEN,True,False,,8ac6e13ffc63f366,"This market will settle to the winner of the Miami Dolphins vs San Francisco 49ers professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",MIA,SF,1315505,1315504,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""SF"", ""away"": ""MIA"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101477,nfl-sea-ari-2026-09-20,657994,aec-nfl-sea-ari-2026-09-20,moneyline,19481,nfl:2026_02_SEA_ARI,2026_02_SEA_ARI,ARI,SEA,2026-09-20T20:25:00Z,MARKET_STATUS_OPEN,True,False,,23f6b6a23927b992,"This market will settle to the winner of the Seattle Seahawks vs Arizona Cardinals professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",SEA,ARI,1315501,1315500,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""ARI"", ""away"": ""SEA"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101479,nfl-was-dal-2026-09-20,657999,aec-nfl-was-dal-2026-09-20,moneyline,19482,nfl:2026_02_WAS_DAL,2026_02_WAS_DAL,DAL,WAS,2026-09-20T20:25:00Z,MARKET_STATUS_OPEN,True,False,,50ff7878cbb3c989,"This market will settle to the winner of the Washington Commanders vs Dallas Cowboys professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",WAS,DAL,1315511,1315510,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""DAL"", ""away"": ""WAS"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101480,nfl-ind-kc-2026-09-20,658002,aec-nfl-ind-kc-2026-09-20,moneyline,19484,nfl:2026_02_IND_KC,2026_02_IND_KC,KC,IND,2026-09-21T00:20:00Z,MARKET_STATUS_OPEN,True,False,,b7ff77f4dc5c4faa,"This market will settle to the winner of the Indianapolis Colts vs Kansas City Chiefs professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",IND,KC,1315517,1315516,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""KC"", ""away"": ""IND"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
